name,easting,northing,latitude,longitude,elevation,speed limit,next,previous,next chargers,dist to next[Km],gradient to next,intersection
r2_p1,6436084.0,372090.0,58.04779341039158,12.83292440841498,107.5334167480469,80.0,r2_p2,r3_p14,0,4.2 ,0.0013779199510082713,
r2_p2,6436609.0,375881.0,58.05358210862684,12.896824925696396,113.3206787109375,70.0,r2_p3,r2_p1,0,2.1 ,-0.007320262346550191,
r2_p3,6437272.0,377681.0,58.06003308387999,12.92695773607156,97.9482650756836,50.0,r2_p4,r2_p2,0,0.9 ,0.0025365136113300597,
r2_p4,6437520.0,378473.0,58.06247683569785,12.940242257100598,100.2311248779297,70.0,r2_p5,r2_p3,0,3.9 ,0.001358680164993381,
r2_p5,6438783.0,382055.0,58.07478102178349,13.0002765419374,105.5299758911133,50.0,r2_p6,r2_p4,kpj9jz,3.0 ,0.007565860449975138,
r2_p6,6438338.0,384464.0,58.07142068241952,13.041311622578954,128.2273406982422,70.0,r2_p7,r2_p5,0,1.9 ,-0.0029880005977891756,
r2_p7,6436703.0,384659.0,58.05679448795754,13.045417491003304,122.5501480102539,90.0,r2_p8,r2_p6,0,16.5 ,0.0026956343496318557,
r2_p8,6443411.0,398866.0,58.12048432072535,13.28314771266322,167.0280609130859,80.0,r2_p9,r2_p7,0,2.5 ,0.002264119366042031,
r2_p9,6444164.0,401153.0,58.12776146908149,13.321634608273367,172.6883544921875,50.0,r2_p10,r2_p8,0,1.0 ,0.0024352593650532437,
r2_p10,6444145.0,402181.0,58.12781935255625,13.339088937799383,175.1236114501953,80.0,r2_p11,r2_p9,0,3.7 ,0.0032361020046319812,
r2_p11,6445853.0,405354.0,58.14384446052632,13.392248917145574,187.09716796875,60.0,r2_p12,r2_p10,0,0.4 ,-0.0003664016805615305,
r2_p12,6446252.0,405513.0,58.147460815541,13.394787371860076,186.9506072998047,80.0,r2_p13,r2_p11,gjzejn,14.6 ,0.00334320586631725,
r2_p13,6449157.0,416972.0,58.17584568199008,13.58835574876983,235.7613220214844,60.0,r2_p14,r2_p12,0,0.7 ,-0.013809032618464613,
r2_p14,6449826.0,416975.0,58.18185324612761,13.588168621228183,226.0953063964844,80.0,r2_p15,r2_p13,0,18.9 ,-0.0021453018093542933,
r2_p15,6462979.0,430066.0,58.30223185331732,13.80675899539732,185.5491333007812,100.0,r2_p16,r2_p14,0,9.6 ,-0.0051933204127211086,
r2_p16,6470856.0,433100.0,58.37343800519261,13.856230755814996,135.6934814453125,80.0,r2_p17,r2_p15,r3q8w2,2.8 ,-0.004707511850154522,
r2_p17,6473137.0,434161.0,58.394081558210665,13.87371354095625,122.5124969482422,50.0,r2_p18,r2_p16,"9wqm9, kzggxg, 25jn8k",1.6 ,-0.0015748268914888564,
r2_p18,6473399.0,435088.0,58.39657266657343,13.88949400030206,119.9927749633789,80.0,r2_p19,r2_p17,0,10.1 ,0.0015367079636004351,
r2_p19,6474739.0,442690.0,58.40966714289479,14.019190417880198,135.5135192871094,90.0,r2_p20,r2_p18,0,3.6 ,-0.00382472652879229,
r2_p20,6475383.0,446174.0,58.415892857134914,14.078655853025529,121.7445373535156,80.0,r2_p21,r2_p19,0,3.2 ,-0.00270334811464775,
r2_p21,6475859.0,449108.0,58.420518666453205,14.128764964775185,113.0938339233398,70.0,r2_p22,r2_p20,0,2.6 ,-0.0008073895671369414,
r2_p22,6477206.0,451164.0,58.4328099,14.163748485,110.9946212768555,80.0,r2_p23,r2_p21,0,10.9 ,0.00036746594617306127,
r2_p23,6478361.0,452376.0,58.44335596240116,14.184184464049578,115.0,90.0,r2_p24,r2_p22,0,6.7 ,-0.0004455725973870385,
r2_p24,6479555.0,456277.0,58.45448654091021,14.250775156915704,112.0146636962891,80.0,r2_p25,r2_p23,0,4.8 ,-0.0016938980573619799,
r2_p25,6481544.0,460496.0,58.47275118991321,14.322721242400917,103.8839569091797,90.0,r2_p26,r2_p24,0,5.3 ,0.0010406020980883537,
r2_p26,6483119.0,465008.0,58.4872810717956,14.399831191989865,109.3991470336914,70.0,r2_p27,r2_p25,0,1.6 ,-0.007460744453576773,
r2_p27,6483489.0,466552.0,58.49072511136343,14.426257523473373,97.46206665039062,90.0,r2_p28,r2_p26,0,5.9 ,-0.0009267582037860041,
r2_p28,6486640.0,471059.0,58.51934654231089,14.50316405445934,91.99419403076172,60.0,r2_p29,r2_p27,0,0.9 ,0.004852992139489195,
r2_p29,6487399.0,471543.0,58.526194989634575,14.511377861826366,96.36186981201172,40.0,r2_p30,r2_p28,0,2.6 ,0.0021981799882266747,
r2_p30,6489658.0,470910.0,58.54644115564465,14.500220788525509,102.0771331787109,60.0,r2_p31,r2_p29,0,2.9 ,-0.002724444372562741,
r2_p31,6492463.0,470629.0,58.571613753195166,14.495030937127831,94.17625427246094,80.0,r2_p32,r2_p30,0,32.1 ,6.895570374246252e-05,
r2_p32,6516290.0,489174.0,58.78646229881072,14.81272351567974,96.38973236083984,100.0,r2_p33,r2_p31,n8rjqn,37.3 ,-0.0005791627118508508,
r2_p33,6546118.0,500723.0,59.0544755970216,15.012604265254971,74.7869644165039,70.0,r3_p41,r2_p32,re8mzr,1.5 ,-0.0066563805345872746,
